hole_id,east,north,elevation,from,to,final_depth,sample_length,dip_direction,dip,cu_perc,lithology,hole_radius
DH-108,7959.63574216,243548.30614726,734.53134618,136.85,141.3,180.5,4.45,155.00000111,47.0000008,1.16,MzP,1
DH-108,7962.04962621,243543.1295562,728.40625893,144.95,149.95,180.5,5,155.00000111,47.0000008,0.92,MzP,1
DH-108,7963.49075101,243540.03905408,724.74949042,149.95,154.95,180.5,5,155.0000011,47.00000081,0.73,MzP,1
DH-108,7964.93187582,243536.94855196,721.09272191,154.95,159.95,180.5,5,155.00000111,47.0000008,0.66,MzP,1
DH-108,7966.16403753,243534.30617264,717.96618483,159.95,163.5,180.5,3.55,155.00000111,47.0000008,0.61,MzP,1
DH-108,7969.05349277,243528.10971589,710.63436398,169.5,174,180.5,4.5,155.00000111,47.0000008,1.26,MzP,1
DH-109,7960.46316428,243550.86377742,817.37547681,16,21,177.25,5,151.22018506,56.96037756,0.54,TnP,1
DH-109,7967.18993015,243538.71322193,796.88805086,40.75,45.75,177.25,5,151.00000103,55.27002637,0.53,GnP,1
DH-109,7968.57436004,243536.21564431,792.78394444,45.75,50.75,177.25,5,151.00000105,55.06998424,0.5,GnP,1
DH-109,7969.96567612,243533.70564365,788.68998405,50.75,55.75,177.25,5,151.00000103,54.8699835,0.76,GnP,1
DH-109,7971.36391574,243531.1831526,784.60605489,55.75,60.75,177.25,5,151.00000104,54.66998811,1.11,GnP,1
DH-109,7972.76908727,243528.64815607,780.53213187,60.75,65.75,177.25,5,151.00000104,54.47000541,1.32,GnP,1
DH-109,7974.18119912,243526.10063885,776.46818994,65.75,70.75,177.25,5,151.00000105,54.27004267,0.47,GnP,1
DH-109,7975.60025974,243523.54058571,772.41420415,70.75,75.75,177.25,5,151.00000105,54.07010722,0.38,GnP,1
DH-109,7977.02436083,243520.97143934,768.36763939,75.75,80.75,177.25,5,151.00000104,53.97730798,0.55,MzP,1
DH-109,7978.44960322,243518.40023402,764.32303914,80.75,85.75,177.25,5,151.00000104,54.00000093,0.78,MzP,1
DH-109,7979.87442294,243515.82979119,760.27795416,85.75,90.75,177.25,5,151.00000104,54.00000093,0.64,MzP,1
DH-109,7981.29924267,243513.25934836,756.23286919,90.75,95.75,177.25,5,151.00000104,54.00000093,0.72,MzP,1
DH-109,7982.72406239,243510.68890554,752.18778422,95.75,100.75,177.25,5,151.00000105,54.00000091,0.83,MzP,1
DH-109,7984.14888212,243508.11846271,748.14269925,100.75,105.75,177.25,5,151.00000105,54.00000091,0.41,MzP,1
DH-109,7985.57370184,243505.54801988,744.09761428,105.75,110.75,177.25,5,151.00000104,54.00000093,0.46,MzP,1
DH-109,7986.99852156,243502.97757706,740.05252931,110.75,115.75,177.25,5,151.00000104,54.00000093,0.39,MzP,1
DH-109,7990.86690712,243495.99882479,729.07012361,125.45,128.2,177.25,2.75,151.00000103,54.00000093,0.38,MzP,1
DH-109,7992.75479325,243492.59298804,723.71038602,130.95,135.95,177.25,5,151.00000104,54.00000093,0.59,MzP,1
DH-109,7994.17961298,243490.02254521,719.66530105,135.95,140.95,177.25,5,151.00000104,54.00000092,0.67,MzP,1
DH-110,7872.57231206,243732.5492317,839.0911146,26.05,31.05,181.3,5,155.92239092,55.71647559,0.75,TnP,1
DH-110,7873.73031753,243729.96472816,834.9698539,31.05,36.05,181.3,5,155.80802279,55.2909406,0.68,TnP,1
DH-110,7874.73262672,243727.73726744,831.4606913,36.05,39.6,181.3,3.55,155.7247338,54.97512104,0.76,TnP,1
DH-110,7876.2499893,243724.38318057,826.25752013,41.7,46.7,181.3,5,155.59300834,54.46517546,0.4,GnP,1
DH-110,7877.19685292,243722.29983973,823.06937584,46.7,49.55,181.3,2.85,155.49859679,54.09159777,0.39,GnP,1
